area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
62.04,2019-06-26 12:48:49,简装,有电梯,中楼层(共14层)2008年建板楼,105,898b6d91eda1b5ab8907dee40daec377,张江,27,南,一年前,1室2厅,小区好位子，楼层棒，面对大花园...,320,万,51580,玉兰香苑(四期) 
51.66,2019-06-26 12:48:49,简装,无电梯,高楼层(共6层)1995年建板楼,32,9575bb5c342a4920a0987193b86dcba6,金杨,34,南 北,25天以前,2室1厅,《内环边小两房+厅带东窗全明+非顶楼视野好》有钥匙！,278,万,53814,香山新村东南街坊 
142.13,2019-06-26 12:48:49,精装,有电梯,高楼层(共9层)2004年建板楼,14,545350bbfff7730c6563c83b319faa71,联洋,19,南,30天以前,3室2厅,南北通三房，有车位，户型好，移民诚意出售,1385,万,97447,第九城市(一期) 
130.15,2019-06-26 12:48:49,简装,有电梯,低楼层(共7层)2003年建板楼,29,8e18e92842d5cef7420cb679e829359e,金杨,34,南 北,3个月以前,3室2厅,正气三房 位置安静 全明户型 满五唯一 看房方便 诚售,1060,万,81445,东方知音苑 
64.51,2019-06-26 12:48:49,简装,无电梯,低楼层(共6层)1999年建板楼,54,2302e612cf2e081ffd785349a2199e5d,北蔡,26,南,30天以前,2室1厅,99年商品房 全明户型边套 两个卧室朝南 车位充裕,323,万,50070,绿川新苑 
96.82,2019-06-26 12:48:49,精装,有电梯,高楼层(共18层)2012年建板楼,30,f1a5fbe8a34b6e4349c4cc0858f022be,新场,28,南 北,2个月以前,3室2厅,万科出品 品质小区 精装小3房 视野好 采光好 总价低,340,万,35117,万科清林径 
84.26,2019-06-26 12:48:49,精装,有电梯,高楼层(共11层)2013年建板楼,82,c5b4e67e4bf23416984b0144e75b6bc1,泥城镇,32,南 北,2个月以前,2室2厅,乾耀东港 商品房 精装修2室2厅 诚意出售 产权清晰,170,万,20176,乾耀东港 
73.3,2019-06-26 12:48:49,精装,有电梯,低楼层(共20层)2011年建板楼,137,8bc392d7f5ff08649492a601ed013705,三林,13,南 北,1个月以前,2室2厅,首付120万 2011年品质小区 南北双阳台 精装修拎包入住,360,万,49114,中海御景熙岸(公寓) 
65.79,2019-06-26 12:48:49,简装,无电梯,中楼层(共6层)1994年建板楼,36,5ed93390fca8d65f0fb737222a5b378f,金桥,13,南,16天以前,2室1厅,满五唯一 正气二房 业主忍痛出售 9号地铁直通陆家嘴,300,万,45600,永业小区 
75.22,2019-06-26 12:48:49,精装,无电梯,中楼层(共6层)2005年建板楼,37,b3adfec1c12cdbdec64940e9cbd192d7,顾村,39,南 北,2个月以前,2室2厅,自住装修  一手动迁 税费少 视野开阔 楼层好,308,万,40947,菊泉新城(菊盛路50弄) 
